Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.4189383,0.028433157,999.0,0.0,0.0,1.0
20000,1.4189383,-0.011296274,999.0,0.0,0.0,1.0
30000,1.4189916,0.07882162,999.0,0.0,0.0,1.0
40000,1.4189967,0.07700716,999.0,-1.2142857142857142,-1.2142857142857142,1.0
50000,1.4184458,0.08202597,999.0,-0.6666666666666666,-0.6666666666666666,1.0
60000,1.4184272,0.09216063,999.0,-0.0728156024759466,-0.0728156024759466,1.0
70000,1.4177694,0.08293794,999.0,0.0,0.0,1.0
80000,1.4176996,0.08989907,999.0,-1.3333333333333333,-1.3333333333333333,1.0
90000,1.4172463,0.0747858,999.0,0.0,0.0,1.0
100000,1.4171945,0.0736929,999.0,0.0,0.0,1.0
110000,1.4171758,0.021923311,999.0,-0.4583333333333333,-0.4583333333333333,1.0
120000,1.417174,0.03269236,999.0,-1.9545454545454546,-1.9545454545454546,1.0
130000,1.417105,0.05199232,999.0,0.0,0.0,1.0
140000,1.4170927,0.04363088,999.0,0.016187747319539387,0.016187747319539387,1.0
150000,1.4169875,0.021231685,999.0,-0.6363636363636364,-0.6363636363636364,1.0
160000,1.4169596,0.03887195,999.0,0.0,0.0,1.0
170000,1.4169251,-0.012623695,999.0,-1.6666666666666667,-1.6666666666666667,1.0
180000,1.4169223,-0.0016741531,999.0,-0.36363636363636365,-0.36363636363636365,1.0
190000,1.4178572,-0.0029912242,999.0,0.0,0.0,1.0
200000,1.4181653,-0.019242782,999.0,0.0,0.0,1.0
210000,1.4191498,-0.0586501,999.0,-1.5,-1.5,1.0
220000,1.4195074,0.009662885,999.0,0.0,0.0,1.0
230000,1.4196664,-0.0011017487,999.0,0.0,0.0,1.0
240000,1.419712,0.007060782,999.0,0.04650481180711226,0.04650481180711226,1.0
250000,1.4197053,-0.027737033,999.0,-0.7857142857142857,-0.7857142857142857,1.0
260000,1.4197019,-0.03000317,999.0,-1.3333333333333333,-1.3333333333333333,1.0
270000,1.4193753,0.00907888,999.0,0.0,0.0,1.0
280000,1.4191934,-0.03326095,999.0,-1.0,-1.0,1.0
290000,1.4185207,0.011983946,999.0,0.0,0.0,1.0
300000,1.4181784,0.0070913658,999.0,0.0,0.0,1.0
310000,1.4175938,0.009225902,999.0,0.0,0.0,1.0
320000,1.4172198,0.012399061,999.0,0.0,0.0,1.0
330000,1.4164687,0.021286508,999.0,0.0,0.0,1.0
340000,1.415949,0.018283566,999.0,0.0,0.0,1.0
350000,1.4152037,0.014769885,999.0,0.0,0.0,1.0
360000,1.4146773,-0.012037787,999.0,-1.5,-1.5,1.0
